_id,_fid,_lid,Name,Type,Courts,Phone,ClubName,ClubWebsite,ClubInfo
1,1,1,Agincourt Park,Club,4,311,Agincourt Tennis Club,http://www.agincourttennisclub.ca,
2,2,2,Alamosa Park,Club,3,416-496-0225,Bridlebrook Tennis Club,http://www.nyta.org,
3,3,3,Albion Gardens Park,Public,3,311,,,
4,4,4,Amesbury Park,Public,2,311,,,
5,5,5,Ancaster Park,Public,3,311,,,
6,6,6,Angela James Arena & Tennis Courts,Public,4,416-395-7838,,,
7,7,7,Antibes Community Centre,Public,1,416-395-0096,,,
8,8,8,Banbury Park,Club,4,416-443- 0941,Banbury Tennis Club,http://www.banburytennisclub.net,
9,9,9,Baycrest Park,Public,2,311,,,
10,10,10,Bayview Village Park,Public,3,311,,,
11,11,11,Beaches Park,Club,10,416-699-1635,Kew Gardens Tennis Club,http://www.kewgardenstennis.ca,
12,12,12,Beaumonde Heights Park,Public,3,311,,,
13,13,13,Bellbury Park,Club,5,416-806-0654,Bellbury Tennis Club,http://www.bellburytennisclub.com,
14,14,14,Bennington Heights Park,Club,2,311,Bennington Heights Tennis Club,http://www.benningtonheightstennis.org,
15,15,15,Bestview Park,Public,3,311,,,
16,16,16,Birch Park,Public,2,311,,,
17,17,17,Birchmount Park,Public,2,311,,,
18,18,18,Bloordale Park South,Public,2,311,,,
19,19,19,Bond Park,Club,6,416 444-7311,"Nyta Winter Tennis Club,The Don Mills Tennis Club","http://www.nywintertennisclub.com,http://www.donmillstennisclub.com",
20,20,20,Botany Hill Park,Club,4,311,Botany Hill Park,,
21,21,21,Bridlewood Park,Club,3,311,Bridlewood Tennis Club,http://www.bridlewoodtennis.ca,
22,22,22,Broadlands Park,Club,4,416-707-5930,O'Connor Hills Tennis Club,http://www.oconnorhillstennis.com,
23,23,23,Buttonwood Park,Public,3,311,,,
24,24,24,Cassandra Park,Club,4,416-391-3962,Parkway Valley Tennis Club,http://www.pvtc.ca,
25,25,25,Cedarvale Park,Public,4,311,,,
26,26,26,Chalkfarm Park,Public,2,311,,,
27,27,27,Champlain Parkette,Public,2,311,,,
28,28,28,Charlottetown Park,Club,3,416-284-3575,Charlottetown Tennis Club,http://www.charlottetowntennis.com,
29,29,29,Clairlea Park,Public,2,311,,,
30,30,30,Cliffwood Park,Public,3,311,,,
31,31,31,Cloverdale Park,Public,3,311,,,
32,32,32,Clydesdale Park,Club,4,311,Pleasantview Tennis Club,http://www.pleasantviewtennis.com,
33,33,33,Coleman Park,Public,2,311,,,
34,34,34,Confederation Park,Club,3,311,Centennial Tennis Club,,
35,35,35,Cosburn Park,Club,5,311,,,
